Year,JulianDay,Hour,Minute,Second,Latitude,Longitude,Depth(km)
2014,31,22,5,51.8786,-1.88112,-79.13512,33.5780
2014,33,4,12,15.1454,0.09227,-78.30925,-4.9742
2014,34,9,47,50.5939,-2.26601,-79.14337,108.8552
2014,34,12,7,43.2822,0.02759,-78.22513,9.7758
2014,35,7,16,10.5033,0.06698,-78.74462,95.1008
2014,35,12,59,46.5110,0.67448,-78.90513,80.1229
2014,35,13,47,59.3432,-1.02155,-79.35325,102.3316
2014,36,8,2,6.2400,-1.00495,-77.94788,0.0193
2014,36,23,28,54.6140,-0.03659,-77.49700,19.7133
2014,37,5,33,44.4613,-1.17535,-78.34800,13.3919
2014,37,6,10,21.4507,0.06069,-80.09162,10.1133
2014,37,18,43,15.7615,0.06975,-78.71675,18.9258
2014,38,6,50,39.9832,0.03363,-78.45187,11.8883
2014,38,8,33,29.2547,0.23447,-78.35413,6.9005
2014,38,20,1,45.9717,0.03703,-78.44862,8.4383
2014,40,6,28,30.1981,-1.17775,-78.34588,14.7669
2014,41,3,59,17.1801,-1.24504,-79.96438,85.4158
2014,41,10,12,37.9683,0.06131,-78.50250,5.5508
2014,42,0,21,28.9028,-1.41986,-78.50063,8.1753
2014,42,10,19,13.9871,0.26631,-80.05425,12.6879
2014,42,11,51,57.4176,-2.41408,-79.42900,85.6257
2014,42,13,31,48.4270,-0.11675,-78.48438,7.4757
2014,42,22,6,23.5791,-1.32159,-78.42900,20.0145
2014,43,19,9,17.3586,-0.35057,-78.48837,4.0250
2014,44,6,9,44.9680,-1.07431,-78.01613,18.2434
2014,44,9,57,44.5660,-2.32375,-80.44300,-4.2590
2014,44,13,5,56.6366,0.07277,-78.43562,-4.7242
2014,45,0,20,30.4248,-2.61557,-78.59275,86.4817
2014,45,4,10,50.5528,-2.30287,-80.08087,51.3666
2014,45,17,51,53.4907,-2.02368,-79.00075,23.0369
2014,46,12,12,53.2025,-1.90324,-79.83825,79.6024
2014,47,16,56,16.7744,-3.15744,-78.79325,74.9365
2014,48,7,39,47.8779,-0.04930,-78.65525,12.7633
2014,48,11,0,41.7359,-0.00073,-78.36125,13.6883
2014,48,18,21,49.8913,0.69543,-77.81600,-4.9773
2014,49,5,41,31.7139,-1.88138,-79.14050,36.6155
2014,49,5,55,4.5129,-2.66565,-78.95287,82.3175
2014,49,6,24,18.7936,-0.87943,-79.88187,74.2333
2014,49,9,17,13.4501,-0.04465,-78.67763,13.1508
2014,49,12,40,24.9398,-1.87608,-79.15588,28.0781
2014,49,14,36,41.4254,-1.86636,-79.16163,12.9783
2014,50,3,11,30.9834,-1.86009,-80.49925,24.4785
2014,50,8,50,21.7751,-1.43839,-79.32388,29.7625
2014,50,9,28,54.7795,0.70399,-77.81875,0.2726
2014,52,6,9,59.0878,0.08648,-78.45737,9.3883
2014,52,7,43,18.9610,0.13279,-78.48138,4.0757
2014,52,7,46,50.7322,0.10976,-78.44025,4.3133
2014,52,7,50,40.0405,-1.08311,-78.42213,12.5183
2014,52,11,49,33.3793,-0.01721,-77.78050,11.0258
2014,52,12,42,6.6423,0.21195,-79.22163,27.4005
2014,52,13,36,29.2855,0.22378,-79.18625,31.3630
2014,52,13,57,37.3485,0.22693,-79.18400,25.2380
2014,52,14,35,49.3873,0.23737,-79.18600,29.1130
2014,53,3,34,5.1298,-2.04846,-79.00213,15.5487
2014,53,7,42,23.3344,-0.03546,-78.41988,10.4258
2014,53,7,47,57.6929,-2.13055,-79.39162,88.5590
2014,53,10,11,53.9826,-2.28277,-79.65962,65.4297
2014,53,23,52,9.8333,-2.66220,-78.44475,19.9801
2014,54,2,50,49.8965,-1.85403,-79.15975,14.2536
2014,54,6,17,42.4411,-0.95210,-78.60562,124.7450
2014,54,19,39,12.6412,-1.59895,-78.77062,16.5343
2014,54,21,10,8.4167,0.19308,-79.19238,24.6881
2014,56,8,34,16.1081,0.22064,-79.17200,25.0255
2014,56,16,25,38.0324,-0.26273,-77.78938,1.5254
2014,57,10,12,7.9416,-1.07609,-78.40000,39.2433
2014,57,13,48,18.7593,-2.26909,-79.69713,82.2051
2014,58,1,31,49.8522,-2.25410,-79.07850,23.5180
2014,58,7,3,48.4742,-1.08764,-78.25575,8.6807
2014,58,11,4,1.2297,0.07956,-80.15300,20.0258
2014,58,18,45,36.5899,0.23599,-79.18475,30.2630
